class;Eccentricity;Aspect Ratio;Elongation;Solidity;Stochastic Convexity;Isoperimetric Factor;Maximal Indentation Depth ;Lobedness;Average Intensity;Average Contrast;Smoothness;Third moment;Uniformity;Entropy
Quercus suber ;0.73;1.47;0.32;0.99;1;0.84;0;0;0.05;0.13;0.02;0.01;0;1.18
Quercus suber ;0.74;1.53;0.36;0.98;1;0.8;0.01;0.01;0.02;0.09;0.01;0;0;0.7
Quercus suber ;0.77;1.57;0.39;0.98;1;0.81;0.01;0.01;0.01;0.06;0;0;0;0.44
Quercus suber ;0.74;1.46;0.35;0.98;1;0.82;0.01;0.01;0.02;0.07;0;0;0;0.59
Quercus suber ;0.82;1.77;0.44;0.98;1;0.75;0.01;0.01;0.01;0.05;0;0;0;0.34
Quercus suber ;0.73;1.49;0.34;0.99;1;0.84;0;0;0.01;0.06;0;0;0;0.34
Quercus suber ;0.82;1.75;0.44;0.98;1;0.77;0.01;0.01;0.02;0.08;0.01;0;0;0.54
Quercus suber ;0.78;1.62;0.39;0.99;1;0.81;0.01;0;0.02;0.09;0.01;0;0;0.67
Quercus suber ;0.83;1.82;0.46;0.98;1;0.77;0.01;0.01;0.01;0.04;0;0;0;0.34
Quercus suber ;0.91;2.39;0.58;0.98;1;0.66;0.01;0.01;0.01;0.04;0;0;0;0.28
Quercus suber ;0.75;1.49;0.34;0.98;1;0.83;0.01;0.01;0.01;0.04;0;0;0;0.25
Quercus suber ;0.8;1.69;0.43;0.98;1;0.77;0.01;0.01;0.01;0.06;0;0;0;0.5
Salix atrocinera ;0.93;2.76;0.64;0.98;1;0.6;0.01;0.01;0.03;0.09;0.01;0;0;0.91
Salix atrocinera ;0.91;2.5;0.6;0.98;1;0.65;0.01;0.01;0.02;0.07;0.01;0;0;0.68
Salix atrocinera ;0.89;2.29;0.57;0.99;1;0.66;0;0;0.03;0.09;0.01;0;0;0.87
Salix atrocinera ;0.87;2.01;0.51;0.99;1;0.7;0.01;0.01;0.03;0.09;0.01;0;0;0.95
